iter	Passed	Remaining
0	1	124
1	2	123
2	3	115
3	4	108
4	5	110
5	6	105
6	7	106
7	9	107
8	10	107
9	11	104
10	12	102
11	13	100
12	14	99
13	16	98
14	17	99
15	18	97
16	19	95
17	20	94
18	21	93
19	23	92
20	24	90
21	25	89
22	26	87
23	27	86
24	28	84
25	29	83
26	30	82
27	31	80
28	32	78
29	33	77
30	34	76
31	35	74
32	36	73
33	37	72
34	38	71
35	39	70
36	40	68
37	41	67
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	50	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	56	52
52	57	51
53	58	49
54	58	48
55	59	47
56	60	45
57	62	44
58	63	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	76	27
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
